epoch -- step -- recon_loss -- kl_loss -- kl_weight  bounce_test1 bounce_test2 num_maxes max_factor min_factor window_len
0 -- 0 -- 1165.1384 -- 1.8396e-01 -- 2.0000e-06  False True 0 2e-06 1e-06 2
0 -- 1 -- 1131.1003 -- 2.0330e-01 -- 4.0000e-06  False True 0 4e-06 1e-06 3
0 -- 2 -- 1108.4907 -- 1.8179e-01 -- 8.0000e-06  False True 0 8e-06 1e-06 4
0 -- 3 -- 980.5604 -- 2.0667e-01 -- 1.6000e-05  False True 0 1.6e-05 1e-06 5
0 -- 4 -- 1998.0735 -- 2.0947e+00 -- 8.0000e-06  False True 0 1.6e-05 1e-06 6
0 -- 5 -- 1563.5182 -- 1.8382e+00 -- 1.6000e-05  False True 0 1.6e-05 1e-06 7
0 -- 6 -- 920.3578 -- 2.8675e-01 -- 3.2000e-05  False True 0 3.2e-05 1e-06 8
0 -- 7 -- 1898.4890 -- 5.6956e-01 -- 1.6000e-05  False True 0 3.2e-05 1e-06 9
0 -- 8 -- 998.8303 -- 2.8243e-01 -- 3.2000e-05  False True 0 3.2e-05 1e-06 10
0 -- 9 -- 929.5362 -- 2.0348e-01 -- 6.4000e-05  False True 0 6.4e-05 1e-06 11
0 -- 10 -- 903.7150 -- 5.1116e-01 -- 1.2800e-04  False True 0 0.000128 1e-06 12
0 -- 11 -- 906.7485 -- 5.7587e-01 -- 6.4000e-05  False True 0 0.000128 1e-06 13
0 -- 12 -- 863.1689 -- 1.8092e+00 -- 1.2800e-04  False True 0 0.000128 1e-06 14
0 -- 13 -- 800.1522 -- 1.4340e+00 -- 2.5600e-04  False True 0 0.000256 1e-06 15
0 -- 14 -- 1899.6089 -- 2.5348e+00 -- 1.2800e-04  False True 0 0.000256 1e-06 16
0 -- 15 -- 1549.7271 -- 2.1237e+00 -- 2.5600e-04  False True 0 0.000256 1e-06 17
0 -- 16 -- 980.3779 -- 7.2645e-01 -- 5.1200e-04  False True 0 0.000512 1e-06 18
0 -- 17 -- 1127.0145 -- 1.1688e+00 -- 2.5600e-04  False True 0 0.000512 1e-06 19
0 -- 18 -- 1192.8593 -- 1.1911e+00 -- 1.2800e-04  False True 0 0.000512 1e-06 20
0 -- 19 -- 928.9790 -- 6.2286e-01 -- 2.5600e-04  False True 0 0.000512 2e-06 20
