epoch -- step -- recon_loss -- kl_loss -- kl_weight  bounce_test1 bounce_test2 num_maxes max_factor min_factor window_len kl_jump_ratio max_log_var min_log_var max_grad_norm
0 -- 0 -- 1154.8159 -- 1.8395e-01 -- 1.0000e+03  False False 0 1000.0 1000.0 1 1.8395e-01 -9.8976e-01 -1.0092e+00 5.0000e+00
0 -- 1 -- 1127.6562 -- 1.3596e-01 -- 1.0000e+03  False False 0 1000.0 1000.0 1 7.3912e-01 -7.0459e-01 -9.2636e-01 5.0000e+00
0 -- 2 -- 976.7214 -- 9.4990e+00 -- 1.0000e+03  False False 0 1000.0 1000.0 1 6.9868e+01 4.7092e+00 1.2171e+00 5.0000e+00
0 -- 3 -- 1107.1299 -- 5.5893e-01 -- 1.0000e+03  False False 0 1000.0 1000.0 1 5.8841e-02 1.6798e+00 -5.6828e-02 5.0000e+00
0 -- 4 -- 1043.3544 -- 2.8353e-01 -- 1.0000e+03  False False 0 1000.0 1000.0 1 5.0727e-01 -1.0840e+00 -1.4777e+00 5.0000e+00
0 -- 5 -- 1417.3948 -- 4.2923e-01 -- 1.0000e+03  False False 0 1000.0 1000.0 1 1.5139e+00 -1.0763e+00 -1.3555e+00 5.0000e+00
0 -- 6 -- 1003.5478 -- 1.5383e-01 -- 1.0000e+03  False False 0 1000.0 1000.0 1 3.5838e-01 -8.2452e-01 -9.6940e-01 5.0000e+00
0 -- 7 -- 1569.0562 -- 5.2294e-01 -- 1.0000e+03  False False 0 1000.0 1000.0 1 3.3996e+00 4.8193e-01 -4.6577e-01 5.0000e+00
0 -- 8 -- 1049.4902 -- 1.3795e-01 -- 1.0000e+03  False False 0 1000.0 1000.0 1 2.6379e-01 3.7004e-01 -5.6037e-01 5.0000e+00
0 -- 9 -- 978.6315 -- 3.0826e-01 -- 1.0000e+03  False False 0 1000.0 1000.0 1 2.2346e+00 -7.5511e-01 -1.1584e+00 5.0000e+00
0 -- 10 -- 991.3544 -- 2.9037e-01 -- 1.0000e+03  False False 0 1000.0 1000.0 1 9.4199e-01 -8.3069e-01 -1.2117e+00 5.0000e+00
0 -- 11 -- 998.0344 -- 1.3559e-01 -- 1.0000e+03  False False 0 1000.0 1000.0 1 4.6694e-01 -3.5420e-01 -8.6580e-01 5.0000e+00
0 -- 12 -- 932.6683 -- 5.8900e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 4.3441e-01 3.3775e-01 -6.7233e-01 5.0000e+00
0 -- 13 -- 879.9957 -- 3.0955e-01 -- 1.0000e+03  False False 0 1000.0 1000.0 1 5.2555e+00 1.5662e+00 -6.3346e-01 5.0000e+00
0 -- 14 -- 868.2386 -- 3.5196e-01 -- 1.0000e+03  False False 0 1000.0 1000.0 1 1.1370e+00 1.7185e+00 -8.2456e-02 5.0000e+00
0 -- 15 -- 870.4580 -- 6.7074e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 1.9057e-01 9.1617e-01 -2.5278e-01 5.0000e+00
0 -- 16 -- 843.6130 -- 4.4346e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 6.6116e-01 -1.1388e-01 -6.8034e-01 5.0000e+00
0 -- 17 -- 837.3252 -- 8.0580e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 1.8170e+00 -4.2106e-01 -7.6991e-01 5.0000e+00
0 -- 18 -- 839.0869 -- 8.4862e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 1.0531e+00 -3.6754e-01 -7.4490e-01 5.0000e+00
0 -- 19 -- 835.6775 -- 4.6430e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 5.4713e-01 -1.3258e-01 -6.8740e-01 5.0000e+00
0 -- 20 -- 840.5107 -- 2.0744e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 4.4677e-01 4.6574e-01 -3.9238e-01 5.0000e+00
0 -- 21 -- 949.4415 -- 1.4747e-01 -- 1.0000e+03  False False 0 1000.0 1000.0 1 7.1091e+00 9.6990e-01 -2.2366e-01 5.0000e+00
0 -- 22 -- 935.6476 -- 1.8572e-01 -- 1.0000e+03  False False 0 1000.0 1000.0 1 1.2594e+00 1.0200e+00 -1.0826e-01 5.0000e+00
0 -- 23 -- 829.4200 -- 6.7667e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 3.6434e-01 6.7357e-01 -2.2433e-01 5.0000e+00
0 -- 24 -- 1006.8734 -- 8.2304e-03 -- 1.0000e+03  False False 0 1000.0 1000.0 1 1.2163e-01 2.6887e-01 -4.2643e-01 5.0000e+00
0 -- 25 -- 851.1392 -- 2.9239e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 3.5526e+00 -1.0632e-01 -5.5398e-01 5.0000e+00
0 -- 26 -- 840.4905 -- 7.2369e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 2.4751e+00 -2.5173e-01 -6.3100e-01 5.0000e+00
0 -- 27 -- 824.3728 -- 7.6958e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 1.0634e+00 -2.2237e-01 -7.3140e-01 5.0000e+00
0 -- 28 -- 808.9659 -- 4.3813e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 5.6931e-01 4.1048e-03 -5.2984e-01 5.0000e+00
0 -- 29 -- 812.7413 -- 1.3546e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 3.0918e-01 3.5573e-01 -4.1850e-01 5.0000e+00
0 -- 30 -- 803.3545 -- 3.9628e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 2.9254e+00 6.3457e-01 -2.7371e-01 5.0000e+00
0 -- 31 -- 807.3217 -- 3.6506e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 9.2123e-01 6.0869e-01 -3.0629e-01 5.0000e+00
0 -- 32 -- 802.9215 -- 1.4273e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 3.9097e-01 3.4377e-01 -4.4872e-01 5.0000e+00
1 -- 0 -- 804.3569 -- 2.5398e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 1.7795e+00 4.8324e-02 -7.9725e-01 5.0000e+00
1 -- 1 -- 771.4590 -- 3.5886e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 1.4130e+00 -4.7973e-02 -6.8062e-01 5.0000e+00
1 -- 2 -- 752.1937 -- 2.9774e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 8.2968e-01 6.5868e-02 -5.6089e-01 5.0000e+00
1 -- 3 -- 742.6752 -- 2.8744e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 9.6540e-01 1.2875e-01 -4.4822e-01 5.0000e+00
1 -- 4 -- 725.0799 -- 3.2132e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 1.1179e+00 3.8095e-01 -3.4951e-01 5.0000e+00
1 -- 5 -- 829.9067 -- 5.4572e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 1.6984e+00 5.0690e-01 -3.2330e-01 5.0000e+00
1 -- 6 -- 869.7854 -- 7.8905e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 1.4459e+00 6.5673e-01 -2.0336e-01 5.0000e+00
1 -- 7 -- 734.1030 -- 9.4811e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 1.2016e+00 8.9206e-01 -1.9593e-01 5.0000e+00
1 -- 8 -- 850.6639 -- 2.6536e-01 -- 1.0000e+03  False False 0 1000.0 1000.0 1 2.7989e+00 1.2094e+00 -1.7883e-01 5.0000e+00
1 -- 9 -- 1072.0979 -- 4.1495e-01 -- 1.0000e+03  False False 0 1000.0 1000.0 1 1.5637e+00 1.3283e+00 -2.0891e-01 5.0000e+00
1 -- 10 -- 841.2413 -- 2.5159e-01 -- 1.0000e+03  False False 0 1000.0 1000.0 1 6.0630e-01 1.1879e+00 -2.8858e-01 5.0000e+00
1 -- 11 -- 695.3522 -- 9.1755e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 3.6470e-01 1.0973e+00 -3.6906e-01 5.0000e+00
1 -- 12 -- 768.8633 -- 6.0039e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 6.5434e-01 4.5938e-01 -4.2728e-01 5.0000e+00
1 -- 13 -- 780.6794 -- 6.3758e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 1.0619e+00 5.1662e-01 -4.7517e-01 5.0000e+00
1 -- 14 -- 737.2607 -- 5.0297e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 7.8887e-01 3.8528e-01 -4.8279e-01 5.0000e+00
1 -- 15 -- 716.9574 -- 3.5946e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 7.1468e-01 2.9222e-01 -4.5372e-01 5.0000e+00
1 -- 16 -- 716.7274 -- 4.4830e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 1.2472e+00 4.3022e-01 -3.1320e-01 5.0000e+00
1 -- 17 -- 722.6351 -- 5.5190e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 1.2311e+00 5.6123e-01 -1.9917e-01 5.0000e+00
1 -- 18 -- 721.5051 -- 6.2765e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 1.1373e+00 5.2429e-01 -1.9977e-01 5.0000e+00
1 -- 19 -- 741.7000 -- 5.3156e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 8.4691e-01 5.1109e-01 -1.6722e-01 5.0000e+00
1 -- 20 -- 676.6011 -- 3.2923e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 6.1936e-01 4.1582e-01 -3.2789e-01 5.0000e+00
1 -- 21 -- 717.9275 -- 2.0480e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 6.2207e-01 1.8673e-01 -3.1151e-01 5.0000e+00
1 -- 22 -- 737.8413 -- 1.9852e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 9.6933e-01 4.8376e-02 -4.6314e-01 5.0000e+00
1 -- 23 -- 710.8391 -- 2.3562e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 1.1869e+00 -2.8093e-03 -4.9094e-01 5.0000e+00
1 -- 24 -- 708.7329 -- 2.8144e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 1.1944e+00 -3.2164e-03 -5.2249e-01 5.0000e+00
1 -- 25 -- 682.0464 -- 2.9418e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 1.0453e+00 1.2703e-02 -4.7391e-01 5.0000e+00
1 -- 26 -- 691.1216 -- 3.6438e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 1.2386e+00 5.0293e-02 -4.7408e-01 5.0000e+00
1 -- 27 -- 699.6193 -- 4.2486e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 1.1660e+00 2.2176e-01 -5.3595e-01 5.0000e+00
1 -- 28 -- 659.2050 -- 4.0879e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 9.6217e-01 2.3893e-01 -4.4862e-01 5.0000e+00
1 -- 29 -- 704.0298 -- 4.2223e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 1.0329e+00 2.6261e-01 -3.6066e-01 5.0000e+00
1 -- 30 -- 733.1635 -- 4.5404e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 1.0753e+00 2.7639e-01 -3.6286e-01 5.0000e+00
1 -- 31 -- 666.8973 -- 3.8019e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 8.3736e-01 2.6676e-01 -3.8449e-01 5.0000e+00
1 -- 32 -- 637.2051 -- 3.6446e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 9.5862e-01 2.4185e-01 -4.3169e-01 5.0000e+00
2 -- 0 -- 663.0017 -- 3.6322e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 9.9659e-01 2.5817e-01 -6.1891e-01 5.0000e+00
2 -- 1 -- 643.9990 -- 3.0267e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 8.3329e-01 2.0109e-01 -5.0480e-01 5.0000e+00
2 -- 2 -- 659.2238 -- 2.9679e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 9.8057e-01 3.1021e-01 -5.0239e-01 5.0000e+00
